"","parent_ft","fragments"
"130","FT_591.27382_15.598_RPPOS","FT_361.10688_15.598_RPPOS; FT_467.14862_15.598_RPPOS"
"131","FT_622.43094_18.948_RPPOS","FT_437.34101_18.947_RPPOS"
"132","FT_631.26634_15.597_RPPOS","FT_361.10688_15.598_RPPOS; FT_467.14862_15.598_RPPOS"
"133","FT_668.43628_16.648_RPPOS","FT_205.1585_16.653_RPPOS; FT_407.33048_16.647_RPPOS; FT_425.34104_16.648_RPPOS; FT_453.33594_16.648_RPPOS; FT_471.34651_16.647_RPPOS; FT_489.35702_16.647_RPPOS"
"134","FT_668.4365_16.392_RPPOS","FT_407.33056_16.391_RPPOS; FT_425.34116_16.392_RPPOS; FT_453.33597_16.391_RPPOS; FT_471.34653_16.392_RPPOS; FT_489.35712_16.394_RPPOS"
"135","FT_784.48359_17.152_RPPOS","FT_191.17928_17.152_RPPOS; FT_409.34622_17.152_RPPOS; FT_437.34107_17.151_RPPOS; FT_455.3516_17.152_RPPOS"
"136","FT_88.11202_6.068_RPPOS","FT_71.08549_6.067_RPPOS"
"137","FT_903.24307_13.531_RPPOS","FT_451.11736_13.531_RPPOS"
"138","FT_925.28491_12.874_RPPOS","FT_907.27434_12.871_RPPOS"
"139","FT_926.3164_11.685_RPPOS","FT_361.10679_11.686_RPPOS"
"140","FT_99.04394_1.271_RPPOS","FT_69.03344_1.272_RPPOS"
