"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2014_P_3_30_34","2014","PALSA","core_3","2014_P_3_30_34","30_34","P","2.9",NA,"N 68 21.1959, E 19 02.7974","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2014_S_1_1_5","2014","BOG","core_1","2014_S_1_1_5","1_5","S","16.2",NA,"N 68 21.1973, E 19 02.8537","Sphagnum Autochamber Site","Bog","-10.0","Below Detection (>100)"
"2014_S_1_10_14","2014","BOG","core_1","2014_S_1_10_14","10_14","S","14.1","5.1","N 68 21.1973, E 19 02.8537","Sphagnum Autochamber Site","Bog","-10.0","Below Detection (>100)"
"2014_S_1_20_24","2014","BOG","core_1","2014_S_1_20_24","20_24","S","12.1","4.3","N 68 21.1973, E 19 02.8537","Sphagnum Autochamber Site","Bog","-10.0","Below Detection (>100)"
"2014_S_1_30_34","2014","BOG","core_1","2014_S_1_30_34","30_34","S","10.4","4.1","N 68 21.1973, E 19 02.8537","Sphagnum Autochamber Site","Bog","-10.0","Below Detection (>100)"
"2014_S_2_1_5","2014","BOG","core_2","2014_S_2_1_5","1_5","S","18.4",NA,"N 68 21.1968, E 19 02.8319","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_2_10_14","2014","BOG","core_2","2014_S_2_10_14","10_14","S","14",NA,"N 68 21.1968, E 19 02.8319","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_2_20_24","2014","BOG","core_2","2014_S_2_20_24","20_24","S","11.9",NA,"N 68 21.1968, E 19 02.8319","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_2_30_34","2014","BOG","core_2","2014_S_2_30_34","30_34","S","10.4",NA,"N 68 21.1968, E 19 02.8319","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_3_1_5","2014","BOG","core_3","2014_S_3_1_5","1_5","S","18.2",NA,"N 68 21.19189, E 19 02.8572","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_3_10_14","2014","BOG","core_3","2014_S_3_10_14","10_14","S","15.7",NA,"N 68 21.19189, E 19 02.8572","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_3_20_24","2014","BOG","core_3","2014_S_3_20_24","20_24","S","14.3",NA,"N 68 21.19189, E 19 02.8572","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_S_3_30_34","2014","BOG","core_3","2014_S_3_30_34","30_34","S","12.4",NA,"N 68 21.19189, E 19 02.8572","Sphagnum Autochamber Site","Bog","Not Measured","Below Detection (>100)"
"2014_E_1_1_5","2014","FEN","core_1","2014_E_1_1_5","1_5","E","16.7","5.4","N 68 21.1992, E 19 02.8063","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2014_E_1_10_14","2014","FEN","core_1","2014_E_1_10_14","10_14","E","16.9","5.1","N 68 21.1992, E 19 02.8063","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
